,자사몰 - 상품 목록 URL,제품명,자사몰 - 상품 상세페이지 URL,주요 USP (상세페이지),카피 (한 줄 특징),제품 안전관리,기타 테스트,주의사항 / 제약문구,SNS / 광고용 영상 여부,기타,HS CODE,비고
욕실용품,https://coeir.co/product/list.html?cate_no=75,욕실 미끄럼방지 매트,https://coeir.co/surl/P/35,"1) 뛰어난 미끄럼 방지 효과
2) 믿을 수 있는 고급 소재 TPE
3) 유해물질 걱정 없는 KC마크
4) 곰팡이 번식 억제, 항곰팡이 기능
5) 편리한 세척과 관리","물 빠짐은 빠르게, 바닥엔 빈틈없이 밀착 - 관리까지 쉬운 안전한 욕실 미끄럼방지 매트","어린이제품 - 공급자적합성확인 - 기타 어린이제품

-> 프탈레이트/중금속 등 안전기준 테스트 모두 통과

-> KC마크 사용 가능",1) 항곰팡이 테스트 통과,"- TPE를 젖병 젖꼭지 소재가 아닌 의료용품에 사용되는 소재라고 할 것
#)젖병 젖꼭지 소재로는 TPE가 아닌 실리콘이 주로 쓰임

- KC인증 받았다는 표현 X > KC마크가 있는 제품이라고 표현할 것
#)어린이제품은 아니나 아이들이 많이 사용하기 때문에 생활용품-안전기준준수가 아닌 어린이제품 - 공급자적합성확인 - 기타 어린이제품의 기준에 맞게 유해물질 테스크를 진행하였음(모두 통과)
#)어린이제품 - 공급자적합성확인 - 기타 어린이제품은 인증을 받는 것이 아니라 어린이제품 공통안전기준에 부합하는 테스크 리포트를 제조사가 보유하고 있으면 KC마크를 쓸 수 있는 제
",,"숫자 데이터들로 소비자 제품 만족도와 품질 강조
- 네이버 구매 후기 9,000개 이상
- 누적 판매량 15만개 이상
- 네이버 구매 만족도 4.8 / 5점
- 네이버 쇼핑 1위

- 기존 HS CODE: 3918.90.9000",3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,,,,,,,,,,3926.90.9000,
,,워셔블레더 규조토 발매트,https://coeir.co/surl/P/37,"1) 유해물질 걱정 없는 KC마크
2) 세척과 관리가 편한 워셔블 레더
3) 세균 번식을 억제하는 항균 기능
4) 리얼 규조토 함유로 빠른 흡수 및 건조
5) 미끄럼 방지를 위한 논슬립 바닥면
6) 고급스럽고 세련된 디자인","규조토의 흡수력은 그대로, 세척과 관리는 훨씬 간편하게 - 워셔블 레더로 완성한 새로운 기준의 규조토 발매트","어린이제품 - 공급자적합성확인 - 기타 어린이제품

-> 프탈레이트/중금속 등 안전기준 테스트 모두 통과

-> KC마크 사용 가능",1) 항균 테스트 통과,"- KC인증 받았다는 표현 X > KC마크가 있는 제품이라고 표현할 것
#)어린이제품은 아니나 아이들이 많이 사용하기 때문에 생활용품-안전기준준수가 아닌 어린이제품 - 공급자적합성확인 - 기타 어린이제품의 기준에 맞게 유해물질 테스크를 진행하였음(모두 통과)
#)어린이제품 - 공급자적합성확인 - 기타 어린이제품은 인증을 받는 것이 아니라 어린이제품 공통안전기준에 부합하는 테스크 리포트를 제조사가 보유하고 있으면 KC마크를 쓸 수 있는 제도",,"- 딱딱한 규조토 발매트 정도만 인지하고 있고, 빨아쓰는 규조토 발매트가 있다는 것을 
모르는 고객도 상당히 많기 때문에, 기본적으로소비자들이 빨아쓰는 규조토 발매트라는 
제품에 대해 잘 알고 있을 것이라고 가정하지 말 것. 
- 기존 빨아쓰는 규조토 발매트에 적용된 섬유 소재에 비해 코에르 워셔블 레더 소재는
관리가 쉬워서 때가 잘 타지 않고 오염도 쉽게 제거될 수 있다는 점 강조.",5705.00.0000,
,,,,,,,,,,,5705.00.0000,
